"name","time","feature","image"
,,,
"桜","3月〜4月","日本の春と言えば、やっぱり桜。毎年何気なく見ている桜ですが、知れば知るほど奥深いもの。桜の種類が分かるといつものお花見もより一層楽しくなりそうです。一年に一度の貴重な季節。うっかりして、「もう桜の見頃が終わってた！」なんてことがないよう、開花情報を確認して、一番見頃の時期に楽しみたいですよね。桜の見頃やアクセスをはじめ、ライトアップ情報など、お花見に行く際に必要な情報も気になるところ。また、期間限定で桜をモチーフにしたお祭り情報も目白押し。桜の名所、絶景お花見スポットはもちろん、ロマンチックな夜桜、イルミネーションも必見です。桜の開花状況の確認やお花見計画をして、春を存分に満喫しましょう！","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/6/a5982fc4-1099-4fea-ba69-8ee59726a360.jpg"
"菜花","3月〜4月","春の景色といえば、綺麗な桜色に併せて黄色い絨毯を敷き詰めたような一面の菜の花畑を思い浮かべる方も多いのではないでしょうか。桜の開花期間は1ヶ月弱と長くはないものの、菜の花は関東であれば1月下旬ごろから4月までと3ヶ月以上も楽しめる種類のお花で、お花見に訪れる予定を組みやすいというのも魅力の一つ。菜の花畑の名所は、菜の花畑と美しい海岸線、ローカル線の車窓から楽しむ菜の花畑、富士山や桜とのコラボ、大都会の中にあるオアシスといった具合に、それぞれ特色や見所があるのも大きなポイントです。アクセスや見頃をチェックして、今年の春はパステルイエローの絶景を見に菜の花畑に足を運んでみて下さいね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/16/2fdb0f50-01c3-49a1-8bdd-0ed657a72f82.jpg"
"芝桜","4月〜5月","小さな花が密集して咲く姿から「一致」を花言葉にもつ芝桜。満開の時期になると地面が見えなくなるほど、丘一面をパッチワークのように彩る芝桜。見頃は4月中旬から5月上旬で、開花に合わせて開催されるお祭りもお見逃しなく。飲食物の持ち込み可能な場所では、花の香りに包まれながらピクニックを楽しむのも贅沢ですね。地場産品や特産品が販売をするお祭り、夜のライトアップが行われているスポットもあり、それぞれ違った楽しみ方ができそうです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/21/41be1886-1610-446d-9c1a-d77b91e02198.jpg"
"レンゲ","4月","「あなたと一緒なら苦痛が和らぐ」「私は幸福です」という花言葉を持つレンゲソウ。昔から食用のほか民間薬として日本人の生活に根付いてきました。レンゲが一面に咲いている姿を遠くから見ると、紫色の雲が低い所で漂っているように見えることから、「紫雲英（ゲンゲ）」という和名が付きました。都会の喧騒を忘れて、豊かな田園風景に心と体を委ね、古き良き日本を味わいたい方におすすめです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/26/cfeb12ae-bbe2-42a7-8fb8-9a6739869e3b.jpg"
"カタクリ","4月","うつむいたように咲く姿が恥じらいを捨てきれない青春の姿と重なり「初恋」という花言葉をもつカタクリ。色鮮やかな紫色の花びらと青々した葉のコントラストは見る人を魅了します。見頃は4月上旬から5月上旬で開花時期はわずか2週間ほどで、その儚い姿から「春の妖精」と呼ばれることも。日が当たると花が開き、日差しがないと閉じたままという生命力からは大きな自然のパワーをもらえます。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/23/2dc83d56-bfe1-4beb-8b79-dcd8c6ee9c25.jpg"
"桃花","3月〜4月","花が大ぶりで、まるで絵の具で絵に描いたように咲き誇る桃の名所はまさに桃源郷。花びらの先が少しとがり、花と同時に葉が出る事が桃の花の特徴です。桃は古くから魔除けの力があると言われており、桃の節句では女の子の成長と幸福が願われます。中でも有名なのはハナモモで、1本の木に赤白ピンクの3色の花を咲かせ、満開時の迫力は圧巻です。また、開花に合わせてお祭りも各地で行われており、地元の農産物や加工品、苗木なども販売されるそうなのでお花見イベント情報は要チェックです。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/31/2d1c0fcf-83a4-4240-aa6c-77698bdf2862.jpg"
"バラ","5月〜6月","色や形など見ているだけでワクワクするちょっと大人な花。それだけでなくやっぱり香りが魅力。全国には素敵なバラ園が各地にあることをご存知ですか？緑の葉と共に色づくバラ園はまるで欧米の庭園のようで、写真映えも抜群です。バラは子どもの目線でもじっくりと見ることができ、お子様と一緒に楽しめるのものも魅力の一つ。主な見頃は春と秋なので、おでかけしやすい時期というのも嬉しいところ。中には摘み取り体験や買取ができるところも。多くの花言葉を持つロマンチックなバラ。お気に入りのバラを見つけて、大切な人にプレゼントをしてみるのもいいですね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/15/13a917ee-de55-434c-b253-0e098610626b.jpg"
"チューリップ","3月〜5月","4月上旬から5月中旬が主な見頃のチューリップ。「思いやり」という花言葉をもち、ビビッドカラーで人々をおとぎ話の世界へ誘います。チューリップは数あるお花の中でも特に多様性の富み、一箇所で数百種類が咲き誇るチューリップ畑は、気分はまるでヨーロッパに訪れたかのよう。関東では早い所なら3月下旬から4月いっぱい、北関東では5月上旬ぐらいまで鑑賞する事が出来ます。また、ネモフィラ・菜の花・ポピーなど様々な花とのコラボレーションが楽しめるのも魅力の一つ。お子様を持つご家族は、様々な春の花を一緒に覚えながら楽しむのもいいですね。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/20/3fbdd3aa-4390-45cc-a10c-5517dee8bcea.jpg"
"ツツジ","4月〜5月","万葉集の歌にも登場し、古くから多くの人に親しまれるツツジ。子供の頃には、ツツジを摘んで蜜を吸ったり押し花にして遊んだ方も多いのではないでしょうか。そんな懐かしい時代を思い出させてくれる妖艶な香りを持つのも魅力的です。満開の時期になると何千株ものツツジが庭園を埋め尽くすように咲き乱れ、その様子は圧巻です。ピンクだけでなく赤、紫、白など色とりどりに咲き乱れ、写真映えするスポットがあるのも魅力の一つ。また見頃の時期には、ツツジの名所で名高い伝統芸能の演奏が行われたり、多くの露店が立ち並び、お花見を一層盛り上げてくれます。見頃やアクセスをはじめ、ツツジの種類や色を知って、一味違ったお花見に出かけてみませんか。","https://image-loconavi.tokubai.co.jp/w=120,h=120,a=2/uploads/tag/description/image/17/06f48d18-800b-4bf5-91ac-97d5d0bf8576.jpg"
