"flower_item_id","season_id"
"1","3"
"1","4"
"2","3"
"2","4"
"3","4"
"3","5"
"4","4"
"5","4"
"6","3"
"6","4"
"7","5"
"7","6"
"8","3"
"8","5"
"8","6"
"9","4"
"9","5"
"10","4"
"10","5"
"11","4"
"11","5"
"12","4"
"12","5"
"13","5"
"13","6"
"14","4"
"14","5"
"15","6"
"16","6"
"16","7"
"16","8"
"16","9"
"16","10"
"16","11"
"17","4"
"17","5"
"17","6"
"17","7"
"18","5"
"18","6"
"19","4"
"19","5"
"19","6"
"19","7"
"20","5"
"20","6"
"21","6"
"21","7"
"21","8"
"21","9"
"22","4"
"22","5"
"22","6"
"23","5"
"23","6"
"23","7"
"24","6"
"24","7"
"25","7"
"25","8"
"25","9"
"26","7"
"26","8"
"26","9"
"27","9"
"27","10"
"28","6"
"28","7"
"28","8"
"29","5"
"29","6"
"29","7"
"30","5"
"30","6"
"30","7"
"30","8"
"30","9"
"30","10"
"30","11"
"31","3"
"31","4"
"31","5"
"31","6"
"31","7"
"31","8"
"31","9"
"31","10"
"31","11"
"32","6"
"32","7"
"32","8"
"32","9"
"32","10"
