"name","time","feature","image","detailed_feature"
"サルビア","5月下旬〜12月上旬","様々な色の花を持ち、他の花の魅力を一層引き立ててくれるサルビア。中でも一年草のスプレンデンスが一面に咲き誇り、織りなすのは真っ赤な絨毯。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/15/1c63f5b0-081e-46f1-8162-5c9696d15765.jpg","様々な色の花を持ち、他の花の魅力を一層引き立ててくれるサルビア。中でも一年草のスプレンデンスが一面に咲き誇り、織りなすのは真っ赤な絨毯。花言葉に「尊敬」「知恵」「良い家庭」「家族愛」を持つように、真っ赤な花から燃えるような情熱や愛のパワーがもらえます。サルビアの名所は、場所によってはそこまで混雑しておらず、穴場で絶景がみれます。見頃は8月から11月上旬で、長い間咲いているのも嬉しいポイント。季節によって違った花とのコラボレーションも生まれ、それぞれの季節で違った楽しみ方をするのもいいですね。"
"ハス","6月下旬〜8月上旬","古くからあるお寺の優美な建築と、明るい庭園の蓮池の調和は圧巻で、まるで極楽浄土を思わせる幻想的な世界が広がります。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/16/98a436de-14cf-42c6-b775-b91ba6af41ac.jpg","ハスは地中に根を下ろし、そこから茎を伸ばして水面に花を咲かせる植物です。泥の中から生まれ出る水生植物で、美しい花を咲かせることから、花言葉は「清らかな心」で、中国や日本で「ハスは泥より出でて、泥に染まらず」と言われ、たくましい花としてよく知られています。古くからあるお寺の優美な建築と、明るい庭園の蓮池の調和は圧巻で、まるで極楽浄土を思わせる幻想的な世界が広がります。また、夜になると蓮池がライトアップされる名所も。歴史的な雰囲気と現代アートとの融合は思わず息をのんで見入ってしまいます。"
"ひまわり","8月上旬〜9月上旬","夏といえば、太陽を向くひまわり。黄金のひまわり畑はまるで映画のワンシーンのよう。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/3/031a0792-e622-4609-9822-9a84e28bff0f.jpg","エネルギーに満ち溢れた大地の太陽が浮かぶ青空と黄色いひまわりが作り出す原色風景は夏の風物詩。背丈を越すほどのひまわり畑では、思わず童心に帰ってしまいますね。ひまわりは、太陽の方向を追うようにして動く習性があるため「私はあなただけを見ている」という花言葉を持ちます。開花時期は8月中旬から9月上旬ですが場所によっては10月に見頃を迎える名所も。全国各地にはまるで海外にいるかのような一面にひまわりを見渡せるスポットが目白押し。贅沢に夏を感じられるのはもちろん、写真映えもする景色に巡り合えそうです。まるで迷路のようなひまわり畑へ、足を伸ばしてみませんか？"
"紅葉","10月下旬〜11月下旬","秋の風物詩、紅葉(モミジ)。庭園や寺院等の紅葉スポットはもちろん、祭りも見逃せませんね！","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/5/2f9ac4e8-9aa1-4cb7-a4ec-80d848e81b18.jpg",""
"梅","2月上旬〜3月中旬","春の訪れを象徴する梅。梅園、梅林などお花見スポット、梅まつりも見逃せませんね！","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/2/8bae2303-72c3-4117-b5a7-453b29e869e0.jpg",""
"桜","3月中旬〜4月上旬","桜の名所、絶景お花見スポットはもちろん、夜桜、イルミネーションも必見！","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/1/4aedb278-97d7-4120-a0b3-b6a7b40173e4.jpg","日本の春と言えば、やっぱり桜。毎年何気なく見ている桜ですが、知れば知るほど奥深いもの。桜の種類が分かるといつものお花見もより一層楽しくなりそうです。
一年に一度の貴重な季節。うっかりして、「もう桜の見頃が終わってた！」なんてことがないよう、開花情報を確認して、一番見頃の時期に楽しみたいですよね。
桜の見頃やアクセスをはじめ、ライトアップ情報など、お花見に行く際に必要な情報も気になるところ。
また、期間限定で桜をモチーフにしたお祭り情報も目白押し。桜の名所、絶景お花見スポットはもちろん、ロマンチックな夜桜、イルミネーションも必見です。
桜の開花状況の確認やお花見計画をして、春を存分に満喫しましょう！"
"チューリップ","4月上旬〜5月中旬","春の代表、色とりどりのチューリップ。ネモフィラ・菜の花・ポピー等とのコラボが楽しめるのも魅力の一つ。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/10/9afccc4b-6929-42ed-8375-785ffd3ddeeb.jpg","4月上旬から5月中旬が主な見頃のチューリップ。「思いやり」という花言葉をもち、ビビッドカラーで人々をおとぎ話の世界へ誘います。チューリップは数あるお花の中でも特に多様性の富み、一箇所で数百種類が咲き誇るチューリップ畑は、気分はまるでヨーロッパに訪れたかのよう。関東では早い所なら3月下旬から4月いっぱい、北関東では5月上旬ぐらいまで鑑賞する事が出来ます。また、ネモフィラ・菜の花・ポピーなど様々な花とのコラボレーションが楽しめるのも魅力の一つ。お子様を持つご家族は、様々な春の花を一緒に覚えながら楽しむのもいいですね。"
"芝桜","4月中旬〜5月上旬","丘一面をパッチワークのように彩る芝桜。開花に合わせて行われるお祭りもお見逃しなく。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/11/dea56227-8df6-4ab3-b108-34d8352a530e.jpg","小さな花が密集して咲く姿から「一致」を花言葉にもつ芝桜。満開の時期になると地面が見えなくなるほど、丘一面をパッチワークのように彩る芝桜。見頃は4月中旬から5月上旬で、開花に合わせて開催されるお祭りもお見逃しなく。飲食物の持ち込み可能な場所では、花の香りに包まれながらピクニックを楽しむのも贅沢ですね。地場産品や特産品が販売をするお祭り、夜のライトアップが行われているスポットもあり、それぞれ違った楽しみ方ができそうです。"
"水芭蕉","4月中旬〜6月中旬","水辺に春の訪れを告げるミズバショウ。小沼を彩り力強く咲く姿からは自然のパワーがもらえます。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/14/e55efa09-0c1f-43d0-97f8-c255ed5e4747.jpg","「美しい思い出」を花言葉にもち、水辺に春の訪れを告げるミズバショウ。見頃は4月中旬から6月中頃で、真っ白な仏炎苞(ぶつえんほう)が小沼を彩り、力強く咲く姿からは自然のパワーがもらえます。また水辺には珍しい動物がいることも。湖沼の周辺の散策はもちろん、湖でのカヌーを始めとするアクティビティも一緒に楽しめるのも他にはない魅力です。"
"藤","4月下旬〜5月中旬","5月連休辺りが見頃の藤。藤棚から花穂が垂れ下がる紫の花々が優美で上品。","https://image-loconavi.tokubai.co.jp/h=200,w=200,a=2/uploads/hananomeisho/flower/image/7/ad3d1980-d8c8-4002-a95c-1765d75b1b4b.jpg","藤は「優しさ」を花言葉にもち、古くから女性の振袖姿に喩えられてきました。藤独特の優しい色味で日々の疲れた目を癒してくれます。新緑に咲く薄紫やピンクの花々のトンネルは圧巻で、是非一度は足を運んで欲しい場所。また「実在する世界の美しい場所10」に選ばれるなど藤の名所は日本だけでなく世界からも高い評価を受けています。また、夜になるとライトアップされる名所も多くあり、まるで別世界にいるような幻想的な絶景が広がります。さらに、見頃に合わせて各地で行われる藤祭りも見所の一つ。藤ソフトクリームなどご当地ならではのものを味わうのもいいですね。"
